Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-23 12:13:07.007855,-328.25,-134.5,91.25,-13232,-2772,11900,354,675,394,28.81,1009.35,-35.550049529545575,5.645334869292133,-8.034373569227439
2021-10-23 12:13:07.308509,-247.75,-120.625,-13.625,-16081,4981,-2849,-648,2485,2023,28.82,1009.36,-30.872492349392473,21.975010180858067,-4.5982297238710235
2021-10-23 12:13:07.609693,-208.625,-136.0,16390.25,-8646,3927,-11531,1531,2490,-135,28.81,1009.34,-29.443311639142287,28.2212449473603,3.6697335710365477
2021-10-23 12:13:07.911101,-123.25,-143.875,48.25,345,2632,-15625,1624,7142,1259,28.84,1009.34,-30.603983014782504,42.80150930634596,8.737378771269423
2021-10-23 12:13:08.212501,-103.125,-131.75,165.875,12471,-1780,-9098,23,3729,734,28.83,1009.35,-36.01180760584212,39.50831999221557,6.286701923256005
2021-10-23 12:13:08.514239,-171.75,-115.125,258.5,12429,2865,7520,-30,6631,48,28.83,1009.31,-37.044314031087126,32.31494127602686,6.778037121825514
2021-10-23 12:13:08.815971,-222.75,-124.875,273.25,11527,58,9415,201,-1986,2930,28.82,1009.35,-36.32772224081181,14.590591126989418,5.937861096951976
2021-10-23 12:13:09.117089,-284.375,-134.75,247.75,818,-3813,15219,-800,2219,-405,28.81,1009.33,-37.771119215825586,14.307443329755348,0.2736750362578742
2021-10-23 12:13:09.417587,-162.375,-99.75,250.0,1283,895,14655,2777,-11624,871,28.82,1009.3,-39.03139921858447,-7.416527569787777,4.549122100164545
2021-10-23 12:13:09.718646,-132.375,-96.0,225.125,15202,6225,8895,-1235,-3690,-5485,28.83,1009.33,-49.36752586963018,-21.169907794988255,9.45696420623318
2021-10-23 12:13:10.020087,-123.375,-88.25,91.75,13732,7550,-2811,784,-8488,-65,28.83,1009.29,-56.78272046490563,-43.75043428308987,22.214174024564
2021-10-23 12:13:10.321091,-223.25,-127.625,23.75,-507,3338,-16730,982,-8700,-916,28.85,1009.36,-81.98882682359206,-61.085744680317376,49.980880395846526
2021-10-23 12:13:10.622396,-320.125,-123.375,60.5,-11292,4972,-10181,128,-6627,417,28.83,1009.36,-115.24206210340232,-63.499078061072474,84.98076884177546
2021-10-23 12:13:10.923952,-335.25,-101.5,157.75,-16283,3254,4653,-1900,-7026,717,28.81,1009.32,-129.4528138312412,-61.48069699144413,95.20167126279668
2021-10-23 12:13:11.225487,-305.375,-112.625,235.875,-8477,1538,13426,-1328,-2128,291,28.82,1009.34,-116.07963408553985,-61.560459083032136,79.64174169932097
2021-10-23 12:13:11.526786,-243.5,-137.75,270.25,4023,-4488,17816,-2556,-2806,-2471,28.83,1009.34,-100.23265633098949,-62.627373054682124,59.96446240571985
2021-10-23 12:13:11.827282,-174.5,-99.75,252.75,5986,-275,15347,2322,-5379,-1302,28.82,1009.35,-90.96026874546159,-64.59121416248485,55.150695742046615
2021-10-23 12:13:12.128019,-105.375,-103.625,107.625,15759,3347,-2477,2046,-10453,262,28.83,1009.33,-146.43702493302655,-69.50478731007021,112.80844697569711
2021-10-23 12:13:12.428906,-106.625,-124.625,29.75,9218,22,-15080,786,-64,-501,28.84,1009.34,-160.51527553350178,-65.59364701405018,126.7327633014292
2021-10-23 12:13:12.730336,-241.625,-117.375,15.75,967,1265,-15148,-2094,-10394,1570,28.87,1009.34,169.23255425461372,-47.60038345353838,151.2576843739125
2021-10-23 12:13:13.031346,-333.5,-155.875,90.25,-15526,1584,-5384,1202,-7335,466,28.86,1009.32,162.31075258647576,-34.444750194146486,155.81288801035436
2021-10-23 12:13:13.335218,-322.125,-142.625,202.0,-12726,-536,8923,-1009,-8293,-207,28.87,1009.37,157.43892916370058,-25.9809885654154,153.9693357176454
2021-10-23 12:13:13.636286,-216.375,-135.5,266.125,-750,-234,15958,78,-8131,153,28.87,1009.36,153.3811683369174,-23.903357142549524,151.5029317706607
2021-10-23 12:13:13.936835,-117.375,-114.375,202.25,16415,1276,7501,-322,-9590,-2287,28.88,1009.35,150.58029741951896,-23.189848208288456,149.25195978472297
2021-10-23 12:13:14.237516,-115.5,-81.75,138.875,15512,3388,-4380,1063,-4244,-1101,28.9,1009.36,147.6746809472648,-30.885815659785564,152.76390500708837
2021-10-23 12:13:14.538487,-139.75,-106.125,39.875,8447,5812,-10044,733,-8489,56,28.92,1009.38,137.71872167769752,-29.924128612592877,155.34480918139286
2021-10-23 12:13:14.839674,-191.125,-125.875,8.375,-322,4115,-16755,-1072,-3976,641,28.93,1009.39,125.79628039376362,-27.533806517522507,158.164123855319
2021-10-23 12:13:15.140853,-281.5,-155.875,32.75,-8026,3951,-14580,-2187,-7355,-1302,28.93,1009.39,115.69483661051588,-15.064867778429118,157.91054483038388
2021-10-23 12:13:15.441942,-324.875,-174.125,119.5,-17522,-2453,703,2456,-8305,-746,28.91,1009.4,106.6357227001676,0.7443944624681144,165.0938088054258
2021-10-23 12:13:15.743735,-312.25,-127.625,219.75,-8598,1269,10418,-1255,-3920,1643,28.92,1009.4,95.47681739523178,6.000697372780083,163.59996186272207
