Time, MagX, MagY, MagZ, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, Temp, Pres, Yaw, Pitch, Roll
2021-10-23 12:19:00.349459,-245.25,-24576.25,161.5,2019,12507,13037,-1926,-26,-871,29.35,1009.45,-49.2569620212905,-1.7592763706422792,10.344225336095093
2021-10-23 12:19:00.651287,-204.125,24581.25,32767.75,3494,15612,1231,-865,-80,597,29.34,1009.47,-49.462317191043894,-7.1313731331509,29.78488712502538
2021-10-23 12:19:00.952584,-252.625,-40.375,32761.625,4483,14860,-6187,-1347,-582,-865,29.33,1009.44,-54.759041476928836,-12.288933818844246,39.44528649102374
2021-10-23 12:19:01.253760,-287.625,-145.0,-9.0,1517,1601,-14421,135,-866,363,29.32,1009.43,-52.0570790313255,-18.439928886635453,46.28032483354559
2021-10-23 12:19:01.555130,-293.0,-251.0,44.875,-590,-7227,-16449,-1333,-1927,-2171,29.32,1009.42,-56.80481360998382,-21.99862289729308,50.2944574620165
2021-10-23 12:19:01.856603,-277.375,-279.875,92.0,-2408,-15533,-7192,-3552,1396,-2246,29.35,1009.46,-55.504455213594674,-21.21467621763772,41.74446495551338
2021-10-23 12:19:02.157278,-311.375,-243.625,212.0,-2174,-15498,2290,2394,601,3318,29.38,1009.44,-45.6112101170857,-24.52546779502902,32.434987547997224
2021-10-23 12:19:02.458001,-291.25,-144.875,276.625,-3418,-8398,13986,-1386,-527,-749,29.37,1009.44,-41.99324060453872,-19.488645390258746,19.9905142538324
2021-10-23 12:19:02.758907,-272.375,-50.875,248.5,370,3182,16464,-3085,-559,-737,29.38,1009.44,-39.53031203002369,-15.319675575559422,15.226377683884737
2021-10-23 12:19:03.059682,-272.125,-32763.5,177.625,-1709,10729,11095,-1384,253,-1226,29.38,1009.46,-52.82003861874175,-7.490444141864788,20.362392748399536
2021-10-23 12:19:03.360837,-245.125,8196.625,55.375,3556,15354,-1526,581,177,669,29.39,1009.46,-48.909689631785355,-11.604991853358328,40.15276213538794
2021-10-23 12:19:03.662230,-270.875,-74.875,-24577.875,1840,8876,-11329,-366,-1524,-2316,29.38,1009.46,-50.75843464265604,-7.779314119461996,41.86086249359723
2021-10-23 12:19:03.963912,-266.75,-181.125,-26.0,252,1447,-14433,525,2403,-969,29.35,1009.43,-46.80093858184885,-7.047515229010158,49.76630309449156
2021-10-23 12:19:04.265149,-299.625,-204.875,8208.625,250,-4805,-15687,-4598,-1366,1321,29.34,1009.45,-52.40211396639448,-14.657314717026011,48.62054876762775
2021-10-23 12:19:04.566281,-353.125,-233.0,221.375,-11645,-23799,-10741,1746,-8792,3289,29.36,1009.45,-57.0829075835281,-25.08012602753008,49.70211963019606
2021-10-23 12:19:04.866790,-301.5,-186.125,283.375,-5587,-12497,8889,-1880,-1620,-2336,29.35,1009.49,-55.463600703699704,-20.99970893014724,36.708962581186846
2021-10-23 12:19:05.167633,-275.375,-75.375,256.75,-94,-1900,17664,-947,-664,-1126,29.34,1009.53,-50.76157643876666,-16.664573271431518,28.088692974852332
2021-10-23 12:19:05.468256,-268.5,24578.375,181.125,-1182,8678,12499,-1168,1765,-1337,29.35,1009.44,-46.94743653770156,-11.420749432020859,37.38065117372128
2021-10-23 12:19:05.769756,-260.625,16390.375,84.625,2255,16704,4133,451,-1014,-259,29.36,1009.44,-46.73938783592504,-14.172242530813048,57.40450192803886
2021-10-23 12:19:06.070863,-267.875,-114.875,-24576.375,2254,6723,-11759,131,-183,-1854,29.36,1009.47,-44.02144809214835,-9.58679213378348,60.90494521019738
2021-10-23 12:19:06.372133,-295.75,-245.75,46.125,-683,-4575,-15919,520,-2069,-946,29.36,1009.43,-47.402128843196344,-11.209386835278032,70.47457639405538
2021-10-23 12:19:06.673424,-300.5,-275.5,137.75,-4756,-14072,-6482,-2407,-1147,-1375,29.41,1009.46,-49.05676055554053,-9.030023065233868,67.97557933233917
2021-10-23 12:19:06.974473,-279.875,-211.0,273.125,-3959,-18843,4892,2605,-1537,-3012,29.43,1009.48,-52.401220233634646,-4.715242546145844,64.97604443089331
2021-10-23 12:19:07.275753,-257.125,-109.25,289.0,1,-5634,16096,-1743,-1048,-1148,29.42,1009.47,-53.479674499204535,-3.097398057072388,50.52417052897267
2021-10-23 12:19:07.576602,-276.375,-35.375,226.625,1329,4122,16707,-234,116,-3494,29.43,1009.47,-53.04828658375602,1.5088054956380568,43.77720348367616
2021-10-23 12:19:07.877003,-281.25,8198.625,163.375,-1354,13409,8514,-2020,107,-332,29.42,1009.48,-49.52373668320972,-0.7096625394252166,54.85837240545703
2021-10-23 12:19:08.177767,-282.125,-39.25,34.125,-874,16205,-5335,2503,327,-18,29.4,1009.44,-41.50211702996007,0.1223676428995309,68.20694812699146
2021-10-23 12:19:08.478719,-270.375,-137.125,-5.125,1310,4687,-14921,-1579,564,-372,29.38,1009.46,-35.60109848627615,-1.232937094762173,75.83974427012102
2021-10-23 12:19:08.780122,-296.625,-247.5,63.25,-493,-7851,-16304,756,-2121,-1487,29.43,1009.46,-37.57957762785156,-0.0695868400406379,85.7937897080957
2021-10-23 12:19:09.081679,-298.25,-266.625,163.875,-3930,-14426,-6068,-2352,-1026,-480,30.11,1009.49,-38.316304196510956,3.1887818562902344,85.66002008785443
2021-10-23 12:19:09.383027,-277.875,-185.5,281.25,-2421,-15546,9924,1053,-93,-1950,30.13,1009.49,-40.7566481167978,8.670753467171819,79.97867689586846
2021-10-23 12:19:09.684185,-264.125,-86.875,277.875,703,-2512,16830,-1339,-537,-682,29.85,1009.48,-45.100302257461564,9.245994689606599,65.62411076457249
2021-10-23 12:19:09.985557,-282.125,-22.25,204.625,844,8613,15526,264,-1096,-3600,29.75,1009.44,-48.386160844286366,11.657667801315942,58.2277265045871
2021-10-23 12:19:10.286246,-293.375,16384.75,119.125,-1624,14024,5520,-2486,147,-1257,29.63,1009.45,-45.65172717401503,6.961576416617388,66.31273561012699
2021-10-23 12:19:10.586680,-290.5,-95.625,8198.375,-1251,9290,-11588,544,578,-872,29.54,1009.45,-52.077349020043584,6.755595999347063,78.63904229626365
2021-10-23 12:19:10.887337,-260.875,-196.875,-32761.25,214,793,-15491,-1920,737,-1084,29.48,1009.45,-42.78891037036887,9.774009294808915,84.10238187411046
2021-10-23 12:19:11.188294,-263.75,-271.125,74.75,1994,-11090,-12965,-2802,-2491,-455,29.81,1009.46,-41.90893151548404,8.936246441387905,85.88428132606872
2021-10-23 12:19:11.488925,-266.625,-270.625,221.5,1840,-14004,-4744,4184,1837,289,30.22,1009.48,-38.05810718077311,8.887642293894709,95.5397943147347
2021-10-23 12:19:11.790160,-259.625,-184.875,288.875,1172,-10716,12099,-1315,-290,-1579,29.96,1009.48,-40.60699325679973,12.250054415803401,85.36437017566935
2021-10-23 12:19:12.091129,-262.375,-84.25,264.75,218,-5342,19220,-2156,493,-1441,29.84,1009.47,-44.011944404949546,15.318984022765639,70.06182349518365
2021-10-23 12:19:12.393116,-280.625,32764.125,182.375,-959,9322,12709,-850,706,-1509,29.75,1009.44,-43.429875391493425,9.671007030118481,69.0132039887613
2021-10-23 12:19:12.694639,-287.5,-16392.125,68.25,883,14132,-47,1735,-723,-2732,29.64,1009.46,-45.70602385689983,11.884200103479165,76.98499827625092
2021-10-23 12:19:12.996041,-275.0,-103.5,-24574.5,-399,5555,-12926,-1089,487,-1126,29.55,1009.47,-35.001573746297154,14.975498851184769,83.5064681375015
2021-10-23 12:19:13.296567,-276.0,-227.75,36.625,1445,-1000,-16214,-300,-240,-2266,29.52,1009.46,-28.417079300822596,16.810563301974437,94.07092772587323
2021-10-23 12:19:13.597134,-284.0,-264.25,117.125,-2509,-14547,-9828,-3010,-396,371,29.53,1009.48,-24.786147686947675,20.349301603621885,96.48850525595773
2021-10-23 12:19:13.897998,-282.625,-215.875,267.5,-2345,-16144,2800,3738,-618,-1310,29.53,1009.45,-27.598233690610297,28.631334019366935,101.64093294456089
2021-10-23 12:19:14.199109,-265.25,-133.625,288.0,281,-6148,15749,-2371,-773,-804,29.53,1009.44,-37.04923608277947,33.02339300788986,85.44988069898463
2021-10-23 12:19:14.500082,-272.25,-38.375,230.5,-79,1561,15523,-1452,-1339,-2328,29.53,1009.46,-49.67549910228731,34.22282142478902,66.41632612591017
2021-10-23 12:19:14.800868,-292.5,-8195.125,176.875,-1539,13421,10029,-3514,668,-1206,29.5,1009.44,-50.50786776373033,29.643791838039558,57.43962811969484
2021-10-23 12:19:15.102003,-287.375,-8210.375,51.125,-492,12218,-2362,3789,499,-746,29.47,1009.43,-46.30497463616482,27.21543785192294,72.65513450424872
2021-10-23 12:19:15.403425,-279.0,-105.0,24578.875,82,6771,-13495,-2705,819,-1620,29.45,1009.48,-49.173536936610006,26.64687970408271,82.0726020463105
2021-10-23 12:19:15.704718,-294.875,-247.375,64.5,-2533,-5645,-16444,1383,-2248,-1182,29.45,1009.45,-40.91986896434292,30.93017040644622,93.93970323701701
2021-10-23 12:19:16.005494,-295.75,-270.75,165.125,-3072,-14211,-8893,-1041,-200,-1329,29.46,1009.47,-32.40406927562505,39.308540775388224,100.7029865330695
2021-10-23 12:19:16.306213,-278.0,-224.25,272.125,-3829,-19469,4850,1639,-938,-1782,29.49,1009.48,-34.33512452860024,51.99424406996398,100.96625440214525
2021-10-23 12:19:16.607078,-255.875,-151.875,287.875,1048,-8217,12556,-1281,-1285,-2092,29.51,1009.45,-54.41685623493945,60.630880096625404,77.06848924005047
2021-10-23 12:19:16.907482,-279.875,-63.75,252.875,1901,4061,17752,79,1963,-977,29.49,1009.5,-68.84093514995702,55.864934492977845,60.01196045767203
2021-10-23 12:19:17.207978,-283.0,-16386.5,201.0,-1969,11178,12771,-1209,136,-14,29.5,1009.44,-70.4291223737724,45.093003505259034,49.81997661973862
2021-10-23 12:19:17.509112,-267.625,16387.0,94.0,630,16956,1028,-459,1172,-1767,29.48,1009.45,-61.50942737187399,34.88051933435328,68.63577081060828
2021-10-23 12:19:17.810149,-272.25,-61.0,17.375,2141,12220,-10158,-1019,-248,-1946,29.45,1009.45,-45.79785761123229,34.051192044861736,82.76676353084032
2021-10-23 12:19:18.111471,-302.375,-142.625,18.375,-750,5596,-15254,-1941,-1820,-2807,29.44,1009.44,-32.6056597037043,36.67866152261333,94.28027971840493
2021-10-23 12:19:18.412900,-290.75,-251.5,78.0,-1490,-5035,-16387,-1097,949,-1160,29.44,1009.48,-16.23099837411411,39.61354237511503,109.27471307831944
2021-10-23 12:19:18.714027,-293.375,-249.125,242.875,-3107,-19105,-1209,1774,-466,-2315,29.44,1009.45,-10.639317912527222,51.69734910427448,120.5022152594551
2021-10-23 12:19:19.016000,-272.125,-156.125,292.625,-1307,-11129,12273,-135,-910,-996,29.45,1009.48,-22.827377524608927,63.60823414809771,109.69659071692453
2021-10-23 12:19:19.317034,-269.125,-68.25,268.25,1927,2040,16366,-2083,-2008,-2527,29.48,1009.46,-60.984943790787256,64.65741698673408,68.74775198881292
